Week,Store No,Format,Sq Ft,Total POS,Store Holiday
2/5/2010,559,GRN,39633,466413.85,0
2/12/2010,559,GRN,39633,425520.59,1
2/19/2010,559,GRN,39633,426433.82,0
2/26/2010,559,GRN,39633,411996.49,0
3/5/2010,559,GRN,39633,419993.67,0
3/12/2010,559,GRN,39633,388992.32,0
3/19/2010,559,GRN,39633,380120.22,0
3/26/2010,559,GRN,39633,364740.90,0
4/2/2010,559,GRN,39633,428086.03,0
4/9/2010,559,GRN,39633,420661.91,0
4/16/2010,559,GRN,39633,1097278.40,0
4/23/2010,559,GRN,39633,344768.28,0
4/30/2010,559,GRN,39633,366040.02,0
5/7/2010,559,GRN,39633,404115.49,0
5/14/2010,559,GRN,39633,389149.57,0
5/21/2010,559,GRN,39633,348554.80,0
5/28/2010,559,GRN,39633,354880.86,0
6/4/2010,559,GRN,39633,401760.43,0
6/11/2010,559,GRN,39633,359808.72,0
6/18/2010,559,GRN,39633,368868.48,0
6/25/2010,559,GRN,39633,362138.11,0
7/2/2010,559,GRN,39633,385943.35,0
7/9/2010,559,GRN,39633,354005.81,0
7/16/2010,559,GRN,39633,357520.41,0
7/23/2010,559,GRN,39633,357656.12,0
7/30/2010,559,GRN,39633,352746.68,0
8/6/2010,559,GRN,39633,407427.39,0
8/13/2010,559,GRN,39633,,0
8/20/2010,559,GRN,39633,356519.84,0
8/27/2010,559,GRN,39633,366925.72,0
9/3/2010,559,GRN,39633,371265.60,0
9/10/2010,559,GRN,39633,357052.60,1
9/17/2010,559,GRN,39633,367856.27,0
9/24/2010,559,GRN,39633,360418.50,0
10/1/2010,559,GRN,39633,363575.73,0
10/8/2010,559,GRN,39633,399898.98,0
10/15/2010,559,GRN,39633,350376.02,0
10/22/2010,559,GRN,39633,353687.61,0
10/29/2010,559,GRN,39633,353383.37,0
11/5/2010,559,GRN,39633,427967.19,0
11/12/2010,559,GRN,39633,391426.66,0
11/19/2010,559,GRN,39633,377336.95,0
11/26/2010,559,GRN,39633,570359.47,1
12/3/2010,559,GRN,39633,481212.40,0
12/10/2010,559,GRN,39633,472433.66,0
12/17/2010,559,GRN,39633,502951.02,0
12/24/2010,559,GRN,39633,610782.04,0
12/31/2010,559,GRN,39633,387469.39,1
1/7/2011,559,GRN,39633,383032.97,0
1/14/2011,559,GRN,39633,385852.73,0
1/21/2011,559,GRN,39633,355668.33,0
1/28/2011,559,GRN,39633,1139132.42,0
2/4/2011,559,GRN,39633,443308.16,0
2/11/2011,559,GRN,39633,435317.84,1
2/18/2011,559,GRN,39633,437573.73,0
2/25/2011,559,GRN,39633,402002.82,0
3/4/2011,559,GRN,39633,441876.14,0
3/11/2011,559,GRN,39633,409544.93,0
3/18/2011,559,GRN,39633,396901.14,0
3/25/2011,559,GRN,39633,385475.30,0
4/1/2011,559,GRN,39633,379347.71,0
4/8/2011,559,GRN,39633,388866.94,0
4/15/2011,559,GRN,39633,371042.32,0
4/22/2011,559,GRN,39633,396651.67,0
4/29/2011,559,GRN,39633,372197.03,0
5/6/2011,559,GRN,39633,417833.75,0
5/13/2011,559,GRN,39633,391104.31,0
5/20/2011,559,GRN,39633,369394.76,0
5/27/2011,559,GRN,39633,374142.23,0
6/3/2011,559,GRN,39633,399299.47,0
6/10/2011,559,GRN,39633,396430.38,0
6/17/2011,559,GRN,39633,408214.97,0
6/24/2011,559,GRN,39633,390312.34,0
7/1/2011,559,GRN,39633,373754.35,0
7/8/2011,559,GRN,39633,399937.87,0
7/15/2011,559,GRN,39633,,0
7/22/2011,559,GRN,39633,365409.00,0
7/29/2011,559,GRN,39633,350172.92,0
8/5/2011,559,GRN,39633,414772.88,0
8/12/2011,559,GRN,39633,385168.48,0
8/19/2011,559,GRN,39633,384508.54,0
8/26/2011,559,GRN,39633,1146021.94,0
9/2/2011,559,GRN,39633,380780.32,0
9/9/2011,559,GRN,39633,382139.12,1
9/16/2011,559,GRN,39633,380421.14,0
9/23/2011,559,GRN,39633,370040.57,0
9/30/2011,559,GRN,39633,373269.56,0
10/7/2011,559,GRN,39633,,0
10/14/2011,559,GRN,39633,373074.20,0
10/21/2011,559,GRN,39633,399767.99,0
10/28/2011,559,GRN,39633,394332.25,0
11/4/2011,559,GRN,39633,464234.85,0
11/11/2011,559,GRN,39633,428847.43,0
11/18/2011,559,GRN,39633,412569.92,0
11/25/2011,559,GRN,39633,603188.50,1
12/2/2011,559,GRN,39633,490367.28,0
12/9/2011,559,GRN,39633,485326.65,0
12/16/2011,559,GRN,39633,521651.23,0
12/23/2011,559,GRN,39633,560772.81,0
12/30/2011,559,GRN,39633,435797.61,1
1/6/2012,559,GRN,39633,421812.68,0
1/13/2012,559,GRN,39633,384284.09,0
1/20/2012,559,GRN,39633,377498.76,0
1/27/2012,559,GRN,39633,358617.27,0
2/3/2012,559,GRN,39633,452582.50,0
2/10/2012,559,GRN,39633,496812.77,1
2/17/2012,559,GRN,39633,493969.59,0
2/24/2012,559,GRN,39633,436730.69,0
3/2/2012,559,GRN,39633,485739.46,0
3/9/2012,559,GRN,39633,465099.97,0
3/16/2012,559,GRN,39633,424362.60,0
3/23/2012,559,GRN,39633,423870.93,0
3/30/2012,559,GRN,39633,417429.72,0
4/6/2012,559,GRN,39633,517216.26,0
4/13/2012,559,GRN,39633,438392.02,0
4/20/2012,559,GRN,39633,447582.53,0
4/27/2012,559,GRN,39633,403367.07,0
5/4/2012,559,GRN,39633,452147.80,0
5/11/2012,559,GRN,39633,444393.63,0
5/18/2012,559,GRN,39633,429450.92,0
5/25/2012,559,GRN,39633,425323.02,0
6/1/2012,559,GRN,39633,446235.43,0
6/8/2012,559,GRN,39633,463056.30,0
6/15/2012,559,GRN,39633,454101.63,0
6/22/2012,559,GRN,39633,432031.42,0
6/29/2012,559,GRN,39633,434490.36,0
7/6/2012,559,GRN,39633,425069.74,0
7/13/2012,559,GRN,39633,429399.27,0
7/20/2012,559,GRN,39633,442982.30,0
7/27/2012,559,GRN,39633,404321.37,0
8/3/2012,559,GRN,39633,437347.59,0
8/10/2012,559,GRN,39633,406167.23,0
8/17/2012,559,GRN,39633,404427.17,0
8/24/2012,559,GRN,39633,425470.20,0
8/31/2012,559,GRN,39633,426176.48,0
9/7/2012,559,GRN,39633,420383.66,1
9/14/2012,559,GRN,39633,422204.40,0
9/21/2012,559,GRN,39633,428628.86,0
9/28/2012,559,GRN,39633,401095.35,0
2/5/2010,426,RED,204746,1657426.73,0
2/12/2010,426,RED,204746,1611075.49,1
2/19/2010,426,RED,204746,1571929.70,0
2/26/2010,426,RED,204746,1437744.84,0
3/5/2010,426,RED,204746,1606140.45,0
3/12/2010,426,RED,204746,1563412.99,0
3/19/2010,426,RED,204746,1697850.54,0
3/26/2010,426,RED,204746,1476825.01,0
4/2/2010,426,RED,204746,1775125.53,0
4/9/2010,426,RED,204746,1671973.45,0
4/16/2010,426,RED,204746,1524637.99,0
4/23/2010,426,RED,204746,1545227.62,0
4/30/2010,426,RED,204746,1502871.79,0
5/7/2010,426,RED,204746,1624711.67,0
5/14/2010,426,RED,204746,1528851.03,0
5/21/2010,426,RED,204746,1536730.07,0
5/28/2010,426,RED,204746,1649262.29,0
6/4/2010,426,RED,204746,1862171.72,0
